Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
УФА1000;rdclin1000.shp;3;1;35;15106;558;558;541;56;541;15106;1;13;1;1;
ВОРОНЕЖ200;rdslin200.shp;95149;29061;20;5285550230;35271524;1661;1568;160;1571;182172;22330;2,971;0,248;22330;
ГРОЗНЫЙ200;rdslin200.shp;95887;25310;19;6735924688;31082942;1864;1752;189;1755;266886;24052;2,975;0,248;24052;
МОСКВА200;rdslin200.shp;172214;54056;20;6976645574;51276051;1381;1307;138;1308;129267;39468;2,961;0,247;39468;
ПЕТРОЗАВОДСК200;rdslin200.shp;113240;42656;18;7273497131;29131474;1512;1423;159;1424;170643;11798;3,004;0,25;11798;
РОСТОВ-ДОН200;rdslin200.shp;153455;24300;28;3865092471;51813648;1468;1357;160;1360;160651;58259;2,92;0,243;58259;
САЛЕХАРД200;rdslin200.shp;17835;6793;14;7812142563;7562176;3979;3794;349;3794;1151724;992;3,017;0,251;992;
СУРГУТ200;rdslin200.shp;25403;8830;17;4618235872;9424674;2496;2333;267;2335;523135;2487;3,013;0,251;2487;
УСТЮГ200;rdslin200.shp;111374;35914;18;6978566222;34438619;1653;1565;163;1566;194503;21833;2,972;0,248;21833;
УФА200;rdslin200.shp;107086;36540;19;7331727153;35291195;1699;1606;169;1607;201018;19312;2,977;0,248;19312;
ВОРОНЕЖ500;rdslin500.shp;30284;11560;12;19397379650;16027750;4378;4203;353;4205;1687903;3166;3,012;0,251;3166;
ВОРОНЕЖ500;rdslin500clip.shp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ГРОЗНЫЙ500;rdslin500.shp;18415;6808;15;12821971014;12527820;5058;4817;432;4822;1895059;1990;3,028;0,252;1990;
МОСКВА500;rdslin500.shp;49052;19145;13;22369981582;23427255;3641;3496;299;3497;1184913;5969;3,014;0,251;5969;
ПЕТРОЗАВОДСК500;rdslin500.shp;36973;15337;12;29124972779;12443880;4278;4039;418;4040;1910586;1006;3,043;0,254;1006;
РОСТОВ-ДОН500;rdslin500.shp;22061;8625;20;11989312782;16979100;4318;4116;342;4119;1408188;3648;3,013;0,251;3648;
САЛЕХАРД500;rdslin500.shp;6668;2998;11;13610891013;3605202;7715;7376;663;7377;4544538;155;3,148;0,262;155;
СУРГУТ500;rdslin500.shp;5432;2088;13;20893692620;3402465;9087;8438;991;8441;10098450;232;3,095;0,258;232;
УСТЮГ500;rdslin500.shp;43369;18433;12;23003963289;15663599;3574;3413;320;3414;1260353;3121;3,012;0,251;3121;
УФА500;rdslin500.shp;62510;26505;12;28427292062;22128688;3387;3241;292;3242;1084101;4893;3,007;0,251;4893;
ВОРОНЕЖ1000;rdslin1000.shp;5773;2311;18;6698129186;8073392;6767;6479;616;6481;2900879;834;3,049;0,191;834;
